thread_id, Start_time, End_time,Real_time_enter, Real_time, User_time, System_time, Elapsed_time,Latency,Turnarount Time,Throughput,CPU Utilization,Fairness
0,1718168934,1718170956,21.47,20.22,19.55,0.01,,1.92,21.47,,91.10386586,
1,1718168934,1718170742,19.33,18.08,17.45,0.01,,1.88,19.33,,90.32591826,
2,1718168934,1718170523,17.14,15.89,15.33,0.01,,1.81,17.14,,89.49824971,
3,1718168933,1718170309,15,13.76,13.26,0.01,,1.74,15,,88.46666667,
4,1718168933,1718170094,12.85,11.61,11.19,0.01,,1.66,12.85,,87.15953307,
5,1718168809,1718169018,2.09,2.09,2.05,0,,0.04,2.09,,98.0861244,
6,1718168933,1718169238,4.29,3.05,2.93,0.01,,1.36,4.29,,68.53146853,
7,1718168933,1718169453,6.44,5.2,5,0.01,,1.44,6.44,,77.79503106,
8,1718168933,1718169668,8.59,7.35,7.07,0.01,,1.52,8.59,,82.42142026,
9,1718168933,1718169881,10.72,9.48,9.14,0.01,,1.58,10.72,,85.35447761,
Result,1718168809,1718170956,11.792,10.673,10.297,0.009,21.47,1.495,11.792,0.465766185,85.87427554,6.172127348
